,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
0,CMA-ES,"[-0.33805404  0.46655404 -0.93238336  0.17395212  0.65592354  0.17743302
 -0.70097828 -0.01337238  0.56157955 -0.04014269  0.06499183 -0.53885349
  0.35446733 -0.42863191  0.19412658  0.67494442 -0.31722111  0.24009809
  0.59499669  0.0675653  -1.24851203 -0.09915724 -0.5177342  -0.36439739
  0.58704565  0.39485041  0.26193093  0.31068303 -0.47825081 -0.03755859
  0.07236258  0.72160414]",1.0,4,0,0,0,16880,3,2
1,CMA-ES,"[-0.63318261  0.31111053  0.32373297  0.76887103 -0.36463856 -0.8391679
 -0.19852764  0.16717272  0.56959739  0.08064031  1.31628284  0.08397428
  0.3244823  -0.94247467 -0.02620384  0.40902834  0.28363919 -0.41246757
 -0.29166873 -0.48385243  0.61711495  0.3224231   0.09601582 -1.06923835
  0.8926429  -0.10415413 -0.4395397  -0.32646824 -0.46194328  0.28072389
  0.17343377  0.60794189]",1.0,7,1,0,0,16340,17,5
2,CMA-ES,"[-0.91038716 -0.04672141 -0.46368237 -1.0885788  -0.37908703  0.24950117
 -0.51190395 -0.2674062   0.06732623 -0.26883445 -0.1662357   0.9193612
 -0.25155865  1.41785133 -0.74199511  0.16884213 -0.1634496   0.63847012
 -0.05889252  0.3325368   0.06803647 -0.10092871 -0.24535001 -0.40633595
 -0.34046326  0.52866193  0.41728475 -0.74993776  0.43784879 -0.01465272
 -0.50850657 -0.40492749]",1.0,6,0,0,0,16880,3,2
3,CMA-ES,"[-1.37085479 -0.07646899  0.29049715 -0.46479352  1.13041647 -0.02569355
 -0.62286508  0.28923966  0.66834489  1.08724673  0.17013421 -0.27035962
  0.49735602  0.25425102 -0.02771264 -0.0868196   0.70158258 -0.38920348
 -0.80524998  0.18149102  0.03332521 -0.58685192 -0.08887953 -0.15984384
  0.18259223 -0.36101421  0.35164055  0.75925051 -0.1323036   1.06355243
  0.24523859 -0.39984973]",0.9937052130699158,4,1,0,0,17120,17,4
4,CMA-ES,"[ 0.22679242 -0.33419429 -0.21377884  0.88786549  0.09643323 -0.24220321
  0.13585806  0.35974442 -0.22763444  1.00889685  0.51150949 -0.41293691
  0.31745002 -0.14322606  0.68819438  0.25167082 -1.03851323  0.64575882
 -0.32752559 -0.20560151  0.55096387 -0.09165461 -0.48563077 -0.15903601
 -0.18618594  0.18764399  0.18369012 -0.37572332  0.57365823  0.38298926
 -1.00722651 -0.53834062]",0.9899601936340332,5,1,0,0,17000,16,5
5,CMA-ES,"[-0.12304129  0.7628065   0.21443313  0.41036877  0.67854985  0.06202662
 -0.25897125  0.01234736 -0.32918698  0.52231792  0.8638642  -0.34411281
  0.30807855 -0.34073756  0.59372319 -0.02006108 -0.30085373 -0.4775257
  0.37575038  0.56334171  0.00645404 -0.01763232 -0.85386093  1.13384676
  0.57516856  0.60834102  0.12565468 -0.74946938  0.00870847  0.83029587
  0.2810316   0.50799127]",1.0,5,0,0,0,16700,6,2
6,CMA-ES,"[-0.3608797   0.50541097 -0.1897877  -0.44408412  0.00933141  0.2114864
 -0.26132971  0.16326473 -0.44553556 -0.10656954 -0.93694884  0.19759841
 -0.45664154 -0.42534951  0.47054342 -0.06829921  0.26551903  0.17225922
  0.36784337 -0.00614837 -0.25832826 -0.75161394  0.4548837   0.39472398
 -0.35972304  1.00981189  0.6865843  -0.49060315 -0.3766134   0.79566526
 -0.24868369  0.7347911 ]",1.0,4,0,0,0,16880,3,2
7,CMA-ES,"[ 0.26214614  0.12039734 -0.27127263 -0.1339225   0.38998783  0.74122574
 -0.46860384 -0.45479286 -0.3090685   0.94764596  0.2848229  -0.02892345
  0.89928593 -0.25858342  0.31553575  0.07046651  0.39146847  0.29323402
 -0.53639032 -0.36629692 -0.15060343 -0.11507486  1.12087685  0.34983037
  0.22095334  0.27722821  1.03344781 -0.55134765  0.55036438 -0.18912209
  0.5291113  -0.7950725 ]",1.0,4,0,0,0,17270,9,2
8,CMA-ES,"[-0.26040633  0.3688754  -0.03956905 -0.06411276 -0.37915906  0.90081494
 -1.0226886  -0.11951332 -0.10151018 -0.54560862  0.62975736  0.19260039
 -0.04221273  0.08632848 -0.58509363  0.96986193 -0.38900992 -0.04701584
 -0.53729325  0.8586174   0.913609   -0.1976011   0.17878583 -1.31255253
 -0.31440894 -0.5250913   0.24587457  0.24603477  0.20063509  0.01916414
 -0.19928846 -0.96726318]",0.8156388998031616,3,1,0,0,17420,40,4
9,CMA-ES,"[-0.2937221  -0.81112297  0.77153463  0.87649057  0.57022335 -0.13506688
 -0.00683373 -0.43139712 -0.04334381  0.20652166  1.1323097   0.16225885
  0.54679329  0.63216916  0.05729983  0.01210833 -0.17786472 -0.12971021
  0.28589443 -0.0950781   0.62353731  0.51418126 -0.02607141 -0.37723504
 -0.56587009 -0.50936998 -0.53262374  0.49189928  0.71661882 -0.28409533
  0.80571659 -0.0740225 ]",1.0,4,6,0,0,16640,15,10
