,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
0,CMA-ME,"[ 0.12225437 -0.11034068 -0.06795955 -0.18548717  0.23162782 -0.16338641
  0.07024331  0.19881586  0.20087256 -0.40168062 -0.02152046  0.07523703
  0.06443074 -0.17894544  0.12984338  0.08549715 -0.03491125  0.27107661
 -0.208982   -0.11865008  0.03121845 -0.01202134 -0.1992583   0.18990719
  0.13256891 -0.00220144 -0.12281876 -0.13195567 -0.15964899 -0.04973355
  0.11608053 -0.21126078]",0.8156388998031616,3,1,0,0,17420,46,5
1,CMA-ME,"[ 0.17700745  0.03699905  0.25932799 -0.06501588 -0.08862111  0.10478155
 -0.06270535  0.24177079  0.23718468 -0.18162724 -0.23199873  0.185908
  0.07606841 -0.1413005   0.07018848 -0.07884353 -0.43919502 -0.51773381
  0.00563075  0.31707465  0.45248506  0.00346687 -0.35048443  0.19421162
 -0.05981977  0.53466489  0.19695139  0.126702   -0.0614318  -0.02647339
 -0.07702173 -0.60246581]",0.8138288259506226,3,0,0,0,17720,52,7
2,CMA-ME,"[ 0.42416467  0.01410761  0.02075698  0.47550033  0.02735587 -0.10819012
  0.18502602  0.0037794  -0.12175106 -0.23236129 -0.19347281  0.04438794
  0.10271237 -0.43308308 -0.32496734 -0.10443214 -0.13470681  0.04082234
 -0.30307068  0.08051085 -0.36566088  0.01989557  0.06724696  0.14281029
 -0.21940018  0.19264879  0.19684911 -0.08744174 -0.11035273 -0.11022295
  0.09997103  0.15085259]",1.0,6,0,0,0,16880,10,4
3,CMA-ME,"[-0.14004981  0.2257585   0.03897049 -0.01599481 -0.1761529   0.01159885
  0.12719062  0.02961085 -0.32134943 -0.44870768 -0.19557873 -0.05860802
  0.06573212 -0.02024384 -0.34252637  0.20813396  0.05954023 -0.03556277
 -0.05744926  0.30339319  0.31693438 -0.15359931  0.14976354 -0.20563835
 -0.03260172 -0.34133248 -0.02424544  0.11750942  0.13798274 -0.09985453
 -0.18930002 -0.01339639]",1.0,3,5,0,0,16880,16,11
4,CMA-ME,"[-0.11948116  0.18237289  0.09127929  0.04027395  0.19801068  0.09131548
 -0.39317474  0.1602489  -0.1861434  -0.02858894 -0.27515648  0.08847714
  0.29709896 -0.28088989  0.14625407  0.02804754  0.2609261  -0.00269692
 -0.20663501  0.24266229  0.046863    0.05556794 -0.26698693 -0.13220296
  0.02841075 -0.00927732 -0.09539657 -0.07696813  0.01734826  0.12099262
  0.01198877  0.01262279]",1.0,6,1,0,0,17000,2,3
5,CMA-ME,"[-0.10302807 -0.13674485 -0.10764686  0.31031617 -0.17674942 -0.19771799
  0.15702489 -0.00797218  0.48480183  0.1468984  -0.14063097  0.26847879
  0.06522508  0.16743378  0.55581539 -0.10112334  0.18676583 -0.09162239
  0.12692741 -0.0029101  -0.11119593  0.06132571  0.11210888  0.18954312
  0.00757961 -0.09192047  0.328295   -0.27630833 -0.52378704 -0.66596048
  0.04119587  0.46202905]",1.0,6,1,0,0,17000,2,3
6,CMA-ME,"[ 0.22982173 -0.07397979  0.1662557   0.22793658  0.27913202  0.01439105
  0.06419951  0.3220812  -0.12026413  0.17703749  0.0912432  -0.52678107
  0.04554721  0.20146765 -0.00429812 -0.30344162  0.05454742 -0.08202317
 -0.34235128  0.10804375  0.01853343  0.03000129 -0.29466109 -0.23352733
 -0.18374261 -0.05771071  0.17961613  0.30858203  0.09426411  0.07744431
  0.21902791 -0.09678102]",1.0,7,1,0,0,16940,21,8
7,CMA-ME,"[-0.03014734 -0.03161522 -0.33166475 -0.1017454   0.00856717 -0.03885217
 -0.23145489 -0.07171899  0.08653632 -0.1952793  -0.04290029 -0.03584953
  0.12376666 -0.03874828 -0.2476709  -0.35713566 -0.01152708  0.05579549
 -0.03855439 -0.08394722  0.1097979  -0.31374421 -0.15784697 -0.30244633
  0.15589512 -0.01040637  0.0783014   0.08244951  0.03954538  0.13678781
 -0.07883069 -0.33788853]",0.8156388998031616,3,1,0,0,17420,41,4
8,CMA-ME,"[-0.17841423  0.03707039  0.15997161 -0.14885475 -0.13652548  0.16703543
  0.03674719  0.19859634  0.11206641 -0.20088713  0.05530977  0.2022365
 -0.04709045 -0.06945466 -0.10846643  0.14753263 -0.32839094  0.04990161
 -0.15356838  0.17552198 -0.31608108  0.08054477 -0.00493907 -0.08773099
  0.11798826  0.36270315 -0.15497726 -0.08513138  0.15594678 -0.20295046
 -0.25281989 -0.01713051]",1.0,5,0,0,0,16760,31,2
9,CMA-ME,"[ 0.11240886 -0.04821343  0.0788674  -0.02670091 -0.36927671 -0.06302654
 -0.17629215  0.1093355  -0.12729688  0.42842274  0.21313045 -0.1563547
 -0.11734208 -0.09964114  0.01960493 -0.27677489  0.04196251  0.01674816
  0.19862225 -0.29918419  0.09190947  0.17336384  0.05299972 -0.08204546
  0.35996029 -0.00336943  0.25270215 -0.01232222 -0.15192158  0.283462
  0.0287272  -0.13980276]",1.0,6,0,0,0,16760,33,2
