,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
0,Random,"[-1.06853403  0.88955585  0.13476632 -0.56762134 -0.88352552  1.34145058
 -0.53792406 -1.20625773 -0.24579606  2.20084354 -0.61027852  0.20677889
  0.09688228 -0.44443041  0.76910843 -1.11864543 -0.30578673  1.42853013
  1.12287979  0.29166382  1.5141983   1.64015852  0.21367802 -0.16980616
 -1.4100764   0.69208034  1.0387385  -0.3120316   1.01009711 -0.16755253
  0.66326973  0.35512763]",1.0,6,0,0,0,16880,8,2
1,Random,"[-1.15171859  1.14643425 -2.00737323  0.91252349 -1.41708466  0.49981163
 -1.32610594  0.60509565 -0.24570275  0.27459226  0.79037996  0.245454
  0.31330284  0.84387973 -0.10561317 -0.6931048  -0.66208375  1.12310506
 -1.5211725  -0.07692165 -0.34094389  2.99985623  0.03206399 -0.95818792
  0.95549983  0.98178646  0.30582252 -0.2258714   1.03439405  1.76799179
  0.41104273 -1.79176544]",1.0,6,0,0,0,16880,19,2
2,Random,"[-0.52092341  0.65543173 -1.6648799  -2.72501232  0.21994606 -1.38784436
  2.22465395  1.67698985 -0.19441487 -1.37677872  1.18352544 -0.50150743
 -1.24904381 -0.20607231 -0.27427249 -1.34551723  0.67900904  0.58659317
 -1.41978302 -1.13283554 -1.9770972  -0.45232697  2.03609241 -0.59701499
 -0.00415355 -0.44082593 -2.02122603 -0.78181236 -0.88522536  0.27578762
  0.48951015 -0.73283635]",1.0,6,0,0,0,16640,20,1
3,Random,"[ 1.29375142  0.24167558 -1.30915922 -0.63719543  0.19352025  0.38937434
  1.61481337  0.34685098 -1.01130171  0.75595261 -0.53998583 -0.22781804
  0.64012152  1.29423838  1.33796982 -0.03033035 -1.34879816 -0.67991903
 -1.04091678  1.13159561 -0.48235634 -0.45717824  0.10808207  0.57738801
  0.52896024  0.95084703  0.75456085 -0.32277774 -0.49497387  0.95938139
 -0.67083047  0.58792456]",1.0,6,1,0,0,16880,10,6
4,Random,"[ 1.08943201  0.98721791  1.2409116  -0.79869609  0.4176115  -1.14943451
  0.66133825 -0.44860141  0.43388555 -0.67986787 -1.11638535 -1.10909372
 -0.3162487  -0.49517674  0.97208096  0.15012954  0.37002053  0.36703741
 -0.24385963 -0.95937606  0.45267861  1.39390021  0.11597486  0.70092927
  0.83228462  1.55179409  1.21946366 -0.46199547 -0.9625932   1.11188993
 -0.48742514  0.28287685]",0.8043360710144043,3,1,0,0,17360,37,2
5,Random,"[ 1.21244066 -0.13583039 -0.23298558  0.15470322 -0.75329242  0.51599587
  1.16409513  0.82126751  0.65182189  0.95302231 -0.5370649   1.66830959
  0.81580776 -1.01194172 -0.80983037  0.06233644  0.80824809 -0.20757369
  0.33395829 -1.03272495  0.75822076  0.61567733  1.34920639 -0.13825864
  0.04913464  0.52019984  0.13771742 -1.34767466  0.84515687 -0.07857952
  1.27353714  0.28339795]",0.8263235688209534,3,0,0,0,17600,49,4
6,Random,"[-0.44585577 -0.44658408 -0.20037364 -0.29360353 -0.10707477  0.5024214
 -0.64481326 -1.69401185  0.07721824  0.54458584 -0.42736361  0.20699725
 -0.93287168 -0.53738946 -1.30545925 -1.15620397  1.58423608  0.06352399
 -1.93744153 -0.53581983 -0.0824927  -1.5965134   0.617687    0.15339149
  1.50696647 -1.10697308  1.07304761 -2.0160613   1.50714526  0.67762213
 -0.01366791  1.3949573 ]",1.0,6,1,0,0,16460,17,4
7,Random,"[ 0.49886642 -1.07380291  0.71139817  0.8459475   0.65659581  0.20230851
 -0.72639974  0.36934719  1.83026841 -0.29022737 -0.27747472  0.67918351
  0.99943511  0.08066618 -0.82042186  0.09199296  0.6689249   0.73444161
  1.46823922  0.87005762  0.79737851  0.11464997  0.43493185  2.67782444
 -0.80084497  0.94910645 -1.72585     0.65079438 -0.3354628  -1.07222964
 -0.11362962 -1.00629278]",1.0,6,1,0,0,16940,18,8
8,Random,"[-0.0073978   0.68759602  1.16596331 -0.09821827  0.04981529  0.65301702
 -0.3861325   0.44420735  0.2256336   1.16713288 -0.8693458   0.18326972
 -0.59838285  0.16200004 -0.69463547  1.04466809 -2.48390968  0.51193123
  1.18253461 -0.2587581  -0.03440319  0.28956451  0.44422978  1.67638336
 -0.52597382  0.74905463 -0.41927645 -0.25018518  0.66242679 -0.11491136
 -0.37611871 -0.0044317 ]",0.8294223546981812,3,5,0,0,17330,16,10
9,Random,"[ 0.76213827  2.53859522 -0.4866697  -1.02045617  0.75441544 -0.01439098
 -0.13627918 -0.9125177   0.69018079 -1.01879257 -0.82490711 -0.41814976
  0.5447138   1.15053181 -0.30257779 -0.36012922  1.68353633 -1.21619698
 -0.83130723  1.7246863   1.77473457  0.45532463 -0.39556728  1.50985873
 -0.38165153  0.83603084  0.49117108  0.7167047  -0.55433429 -0.67344316
  0.07865696 -1.83933827]",1.0,6,0,0,0,16880,19,2
