,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
0,CMA-ME,"[-0.07026376  0.20871659 -0.31768605 -0.27996954 -0.34817343  0.15657818
  0.16623863 -0.20357825 -0.32970345 -0.06283875 -0.04522405  0.33725041
 -0.08709441  0.0555361  -0.04438453  0.18732599  0.06245071  0.08223796
 -0.14645157 -0.02755733 -0.08507056  0.16401173 -0.15366479 -0.34382563
  0.06845557  0.18185343 -0.21637178  0.14002079  0.10065765  0.095568
  0.07579937  0.25161199]",1.0,6,1,0,0,17000,2,3
1,CMA-ME,"[ 0.12549438 -0.33801603  0.29678859  0.51882945 -0.14840639  0.13164741
 -0.05120645 -0.06099673  0.16542839 -0.00899393 -0.448805    0.13370404
 -0.00223833 -0.00150578 -0.25699284 -0.55738668  0.34211101  0.14901409
  0.12683661  0.18909257 -0.11223742 -0.02111539  0.16202442 -0.04136846
 -0.21008934 -0.29295304 -0.00417889 -0.35137584  0.02503443  0.03470383
  0.25201804 -0.07899676]",1.0,5,1,0,0,17240,18,7
2,CMA-ME,"[ 0.00402138  0.25274876  0.33868266  0.40588493  0.21963584  0.44092439
 -0.17341699  0.08561024 -0.1953399  -0.25662282  0.45459238  0.23742277
  0.16593167  0.0492989  -0.10100188 -0.31755336  0.20571192  0.52378383
  0.33657421  0.11233219 -0.13776626  0.1058939  -0.00610064  0.29824774
 -0.0506803  -0.00304205  0.04075349 -0.10285527  0.02075971  0.18053901
 -0.16310005 -0.46612317]",1.0,4,1,0,0,16940,11,5
3,CMA-ME,"[ 0.15815044  0.09515163 -0.20124717 -0.10240883  0.06218752  0.13577678
  0.10442358  0.07245709  0.38636233 -0.34243    -0.10543426 -0.00804709
  0.18374324 -0.11009203 -0.24187093  0.42642839  0.05535584 -0.10475947
 -0.17869188  0.10359271  0.09079737 -0.44606501 -0.30247515 -0.32497511
 -0.04702456 -0.05502749  0.14523577  0.29503384  0.17123231  0.05342764
 -0.19271272 -0.17455792]",1.0,4,0,0,0,16880,4,2
4,CMA-ME,"[-0.0335416   0.39195925 -0.07600763  0.26333951 -0.16323254  0.05817646
  0.02552095 -0.05380343  0.34607549  0.2866798   0.0877911  -0.04926897
  0.23052327  0.12008057  0.25910448  0.13937063 -0.12430081  0.07494344
  0.03157423  0.01658876 -0.10510329 -0.16392662 -0.18377191 -0.08693472
  0.06384374 -0.08430332 -0.36064654 -0.19294676 -0.21194603  0.02680963
  0.11647027  0.04402716]",0.9899198412895203,6,0,0,0,16940,14,2
5,CMA-ME,"[-0.17129103  0.01115029  0.04193963 -0.0158733  -0.18054892  0.17556706
  0.18210789 -0.0815606  -0.01703375 -0.12723329  0.05524265  0.07865851
  0.02021852  0.28720929 -0.0879465   0.35849873 -0.12918198  0.01174144
  0.34740876  0.10995367 -0.13494903  0.15582134 -0.375055    0.14801998
 -0.27276991 -0.04255548  0.18197583  0.12201088  0.33713298 -0.02261769
 -0.24992866  0.02127449]",1.0,5,0,0,0,16760,31,2
6,CMA-ME,"[ 8.07236189e-02  6.10007089e-02 -1.38679528e-01  2.78407182e-04
 -1.88286777e-01  1.58296612e-02 -1.40378097e-01  1.39061161e-01
 -1.60628922e-01 -2.82821412e-01 -1.20765629e-01  1.49625894e-01
 -5.62647195e-02 -9.96270412e-02  1.98443044e-01 -8.52487954e-03
  4.15462672e-01  1.95236918e-02  2.37608234e-01  3.44958596e-02
  1.61155399e-02  1.01119872e-01  1.49542087e-01  1.79538316e-02
 -2.11245726e-02 -5.02767619e-02  1.14119711e-01 -3.64423965e-01
  3.84225005e-01 -6.25319846e-02 -2.02528175e-01 -2.29223634e-01]",0.8263235688209534,3,0,0,0,17600,49,4
7,CMA-ME,"[-0.10674515  0.04911663  0.01876039 -0.08139789  0.14046046 -0.06211481
  0.18609432  0.16633771 -0.00250149 -0.04752849 -0.31591438  0.00508809
  0.10319392 -0.3214291   0.14066767  0.29818221 -0.01505914  0.31196357
  0.42987237 -0.3665884   0.31039661 -0.10811714 -0.12656155  0.31779047
 -0.19314089 -0.02320562  0.44559843 -0.13067277  0.11618986  0.09926361
 -0.0480668  -0.18904165]",1.0,5,0,0,0,17000,32,1
8,CMA-ME,"[ 0.09996363 -0.14196797 -0.0519493   0.09748222 -0.30778419  0.35452548
 -0.01033482  0.01197816 -0.02075272 -0.29678271  0.28224327  0.07805871
  0.04499325 -0.07017238 -0.21691622  0.11569585 -0.04298755  0.23308797
  0.51296404  0.05468765  0.11105679  0.10296997  0.51776601 -0.02474572
  0.12222155 -0.34856885  0.1822996  -0.27047187 -0.12649613 -0.10647226
 -0.12829472 -0.0806466 ]",1.0,4,2,0,0,17270,10,8
9,CMA-ME,"[-0.28316127  0.09373247  0.02249829 -0.41212038  0.0438892  -0.26757993
 -0.31105657 -0.23076786 -0.19164314  0.25369068 -0.11405844 -0.00498194
 -0.06460436  0.05782688 -0.15398202  0.0618439  -0.65789531  0.04794652
 -0.26297285  0.17762059 -0.37028872 -0.27817228 -0.08504843 -0.19613749
 -0.40116795 -0.14037706  0.18603593  0.24642677  0.1468528   0.29110183
  0.15985985  0.03172864]",0.8156388998031616,3,1,0,0,17420,47,5
10,CMA-ME,"[-0.01672642  0.08417201  0.07533765 -0.0321957   0.36406739  0.26867525
  0.15318498  0.05769434  0.13784764 -0.19259125 -0.14678532 -0.19090655
  0.1446994  -0.0677124   0.20321921 -0.34886915 -0.17109463 -0.17380292
 -0.02772365 -0.14802042  0.35242852 -0.2072662  -0.12592747  0.09471725
 -0.36042178 -0.19551049  0.02524176  0.11492715 -0.12422239 -0.04161476
 -0.12480177  0.05226795]",0.8263235688209534,3,0,0,0,17600,49,4
11,CMA-ME,"[ 0.24987593 -0.00910604  0.1744062  -0.01996453  0.0753817   0.17506727
 -0.26163119  0.03256104 -0.00743699 -0.09375956  0.06849578  0.11008479
  0.08318818 -0.0222025   0.04092808  0.103112    0.40492267  0.04929791
  0.02778147 -0.10455734 -0.00679955  0.03951514 -0.12135972  0.27323038
 -0.08232998  0.35667902  0.23312208 -0.2099363  -0.07154841 -0.0747101
  0.03585738 -0.15689756]",0.8156388998031616,3,1,0,0,17420,39,3
12,CMA-ME,"[-0.01429066 -0.0571364   0.13165478 -0.09430858  0.1220374   0.15148286
 -0.10979491  0.23761098  0.09625904 -0.29270639 -0.06333527  0.27706596
  0.19825571 -0.25249392 -0.13252788 -0.26489764 -0.00535411  0.09174185
 -0.06384553 -0.14222085  0.11415577  0.10191411  0.14951723 -0.22622977
  0.27046938 -0.26375999 -0.00188778  0.05942523  0.03099738  0.09494837
  0.0700726   0.18654326]",1.0,7,2,0,0,15260,17,9
13,CMA-ME,"[ 0.15793848 -0.08703114  0.12512434  0.4387206  -0.03529022  0.30457104
 -0.38667971 -0.0706127  -0.23526412  0.02324835 -0.15875006  0.05998625
 -0.00106364 -0.21668508 -0.39620585 -0.11825329  0.19833808  0.00666902
 -0.35201585 -0.45038068 -0.08596271  0.29906925 -0.1648556   0.03679266
  0.28358899  0.12251211  0.23207663  0.16966665 -0.2074599   0.05778151
  0.08889586  0.22601778]",0.8263235688209534,3,0,0,0,17600,48,4
14,CMA-ME,"[ 0.11112487 -0.24755954  0.10299809  0.10739606  0.07192098 -0.13366969
 -0.37661426 -0.07695033  0.15103779 -0.24611126 -0.12414348 -0.01517379
 -0.19982993  0.0211907   0.23502127  0.32993423 -0.32366721  0.01069079
  0.25944842 -0.39201161 -0.16466711  0.05448499 -0.3098509  -0.28396152
 -0.04265707  0.05210716  0.27994695  0.11706885  0.18717648 -0.1980119
  0.24433736 -0.41003712]",1.0,4,0,0,0,16760,31,1
15,CMA-ME,"[ 0.3236834   0.45038647 -0.32241967  0.01535381 -0.20045779 -0.01622546
 -0.45302706 -0.00342373  0.01392613  0.2515885   0.2921483   0.32239192
 -0.08189405  0.08232078  0.1150393  -0.11950748 -0.21778386 -0.48187881
 -0.42994261  0.20210442  0.04964253 -0.03375867  0.22965606 -0.11076579
  0.06481997 -0.01042846 -0.10842396  0.00757124  0.05598477  0.1751251
 -0.08724572  0.2655908 ]",0.8156388998031616,3,1,0,0,17420,34,2
16,CMA-ME,"[-0.28674983  0.28381082  0.07111648 -0.0850186  -0.15675475 -0.19029183
 -0.42175652 -0.54192585  0.30106811 -0.18633945  0.09514891 -0.06927579
  0.17516375  0.17702076 -0.30252186  0.00310663 -0.03355172  0.17573647
 -0.01573012  0.12752032  0.0379709  -0.38948121  0.04226804 -0.05801084
  0.18231327  0.03343175 -0.06833576 -0.35519692 -0.15121242  0.2600302
 -0.12076242  0.20413086]",1.0,6,0,0,0,16940,3,4
17,CMA-ME,"[ 0.10069256  0.1297781  -0.19132407 -0.36651081  0.22940282 -0.06801654
  0.30938083 -0.16686132  0.08222096  0.24737279  0.07641532  0.46913213
  0.00589408  0.35579173 -0.12161541  0.00465692 -0.15681437  0.06164961
  0.08466743 -0.1113704   0.05437138  0.44776291  0.36463116 -0.3355547
  0.20499781  0.11885127 -0.01740032  0.23095412 -0.0303295  -0.20771629
 -0.01453688 -0.19750833]",0.7382934093475342,3,4,0,0,17480,14,11
18,CMA-ME,"[-0.07298679  0.06738185 -0.16323659 -0.27445348  0.01164324 -0.30666331
 -0.14659506 -0.13577275 -0.02608679 -0.05079142 -0.24831632  0.41772012
 -0.03901155  0.01235527 -0.2421794   0.42417696  0.07138926 -0.23346802
  0.10912642  0.04220982  0.14525037 -0.20650852  0.02587142  0.08883937
  0.13616202  0.02898469 -0.02105121 -0.40775135 -0.04343984  0.05945595
  0.09499254 -0.26635302]",1.0,6,1,0,0,17000,2,3
19,CMA-ME,"[ 0.0683032   0.28805648  0.42027344 -0.19870925 -0.0443152   0.04402847
 -0.33427757  0.05751816  0.23802311  0.03934372 -0.081403   -0.10429541
  0.12166933 -0.1930768   0.11278874  0.18706266 -0.09738751 -0.17884417
  0.02252556  0.18040955 -0.05710478  0.44168459 -0.05556818  0.10938985
 -0.04865607 -0.18852841 -0.10676728 -0.12300069 -0.02091327  0.24351756
  0.10209057  0.14281262]",0.8263235688209534,3,0,0,0,17600,51,6
20,CMA-ME,"[ 0.11073156  0.14794774 -0.32735876  0.22385454 -0.08761946  0.15924624
  0.07656127 -0.08797458 -0.47205804  0.21075822  0.0081675   0.11935345
 -0.05114615 -0.03263398 -0.29158372  0.27375493 -0.09998219 -0.1404902
  0.17271267 -0.12542048  0.02554037 -0.23844507 -0.04004863  0.19523642
 -0.05032607 -0.0882573   0.08275793 -0.16494545 -0.17225791  0.00122722
  0.10044301  0.0203435 ]",1.0,5,0,0,0,16760,33,2
21,CMA-ME,"[ 0.05431892 -0.21796658  0.10486218 -0.22900329  0.13013265 -0.04887169
 -0.27477228  0.00797285 -0.25687492  0.15850843  0.04805383  0.25501777
 -0.02081079  0.04569598  0.07878322 -0.2229948  -0.2005329  -0.29863892
 -0.28075689 -0.03418713  0.17039141  0.26339153  0.11251945  0.42238195
 -0.08911557  0.22918116  0.32405211 -0.15214672 -0.13520269 -0.04429191
 -0.03182253  0.15377256]",1.0,5,1,0,0,17240,18,7
22,CMA-ME,"[ 0.07124359 -0.30394742 -0.06123904  0.40271145 -0.09842422 -0.23828909
 -0.20626917 -0.05351131  0.01791603  0.07082819 -0.03903095  0.22602653
 -0.14359072  0.28581199 -0.17404439 -0.13283191 -0.02281719  0.15241233
  0.36589896 -0.4706848   0.15023317  0.20532167 -0.27021358 -0.5896723
 -0.24638015  0.03567663  0.0492171   0.23035779 -0.36565772  0.09785365
 -0.2571497  -0.17233739]",1.0,5,1,0,0,17210,1,3
23,CMA-ME,"[ 0.20127397 -0.41954867 -0.12650497 -0.19368653  0.03130809 -0.02512411
 -0.12674141  0.27435852  0.12205109 -0.13795822 -0.29909346  0.40395714
  0.06744376  0.60303103  0.0367828  -0.16893895  0.06771872  0.08019271
 -0.241519   -0.09448689  0.10949404  0.19513606  0.11850078 -0.14009392
 -0.28997764 -0.3857356  -0.15908339  0.24322162  0.03854374  0.04592975
 -0.18425282  0.04816601]",1.0,6,2,0,0,17120,20,8
24,CMA-ME,"[ 0.04392186  0.16658826 -0.11589038 -0.01435745 -0.08931453 -0.02159831
  0.288605    0.01223494  0.1963755  -0.33735434 -0.26003175  0.01365729
 -0.09414791  0.30530411  0.07303877  0.28737832  0.06087776  0.06769857
  0.02695135 -0.11833279  0.020255   -0.12557609  0.1980282  -0.07152951
 -0.02184644  0.07036011 -0.04856368  0.3626171  -0.02972616 -0.27329712
 -0.24210894 -0.17819412]",0.8156388998031616,3,1,0,0,17420,44,5
25,CMA-ME,"[-0.11532484  0.06388439  0.12042581  0.20054479  0.22536218  0.20530477
 -0.21656215 -0.1813518  -0.3681575   0.13123654 -0.09494893 -0.17050289
  0.0246243   0.15735748  0.00379217 -0.07681832  0.25747255 -0.23557238
 -0.26412956 -0.06337716  0.04925392 -0.08234258 -0.00053542  0.00812125
 -0.27932631 -0.2118875  -0.17389982  0.00171558 -0.30056486 -0.06379816
  0.48064017  0.15677545]",0.8156468272209167,3,1,0,0,17480,48,5
26,CMA-ME,"[ 0.08463426  0.00148675  0.22221833 -0.056401   -0.01492935  0.11030015
 -0.07428773  0.29912564 -0.16572127  0.00889579 -0.18410462  0.10527068
  0.20152533  0.40062318 -0.07165997  0.28207163 -0.22232223  0.09783756
  0.06367643 -0.1517282  -0.26317592 -0.26660712  0.15131602  0.00084655
 -0.03832446 -0.02086315 -0.26512193 -0.11240516  0.11249384  0.09225659
 -0.17497286  0.17732719]",0.8263235688209534,3,0,0,0,17600,49,4
27,CMA-ME,"[-0.06319094 -0.04917841 -0.38931742  0.02307633 -0.1971551   0.20008283
  0.24739034 -0.24005209  0.03284702 -0.04842877  0.21962176  0.02845894
 -0.35962106 -0.10196399  0.03241435 -0.09066701 -0.08607295  0.14650898
 -0.09145552 -0.00323308 -0.13841545  0.09936282 -0.04435203  0.01390574
 -0.05955426  0.00084596 -0.51821515  0.13590709 -0.12498806  0.05352079
  0.00187396  0.32619876]",1.0,6,1,0,0,16940,2,3
28,CMA-ME,"[-0.15440805 -0.12386542 -0.19352579  0.3997798   0.16379395 -0.37791347
  0.06207388 -0.00950001  0.02716866 -0.0214137  -0.01605513  0.41681633
  0.12945519 -0.17486986  0.03052817  0.24976942  0.01351492  0.15683615
 -0.22164801  0.01149649 -0.22774345  0.05608963 -0.09806149  0.2326957
 -0.16792714  0.17502793  0.52779444 -0.30617532  0.18347316 -0.05625261
  0.18244335 -0.12134908]",0.7811501026153564,3,1,0,0,17480,34,2
29,CMA-ME,"[-0.05465016 -0.0070814   0.18434727 -0.12049696 -0.12902565 -0.25314696
  0.02174317  0.56079966 -0.23740633 -0.26182836  0.34904592  0.18267912
  0.16067531  0.33774005 -0.11353129 -0.19235344 -0.33402866  0.08203929
  0.17144977  0.02839913  0.180663   -0.02798507 -0.27925169  0.00967799
  0.30304224 -0.19311575  0.24015384 -0.28845493  0.14975256 -0.11941528
  0.11294957  0.00956949]",1.0,7,1,0,0,16940,21,7
30,CMA-ME,"[-0.40956984  0.07004169 -0.11828504  0.23174409  0.04275616  0.05501785
 -0.26920705  0.25811409  0.08071914  0.01790083  0.06708058  0.04990477
 -0.00461113 -0.24464505 -0.11573531 -0.04978695  0.1976787   0.01672131
  0.07154017  0.31565263 -0.17823355  0.04831174  0.00540327  0.15076071
  0.22880609 -0.00923118 -0.20447706  0.02645326 -0.4438469   0.20568125
  0.19774328 -0.19418093]",1.0,5,0,0,0,16760,32,2
31,CMA-ME,"[ 0.10598191 -0.00708309 -0.09307517 -0.29858315 -0.00148978  0.1086416
 -0.07776663 -0.03026652 -0.11220286  0.00625445  0.31728503 -0.18860444
 -0.02455545 -0.08600198  0.23019808  0.12740066 -0.08260677 -0.14292135
 -0.15065864  0.26379472 -0.22054057  0.09379339 -0.09595671  0.15568765
 -0.05102347  0.14569416 -0.19919741  0.00792897 -0.42497243 -0.11532624
 -0.12394882 -0.15711816]",0.8261634707450867,2,0,0,0,17720,31,1
32,CMA-ME,"[ 0.05953737 -0.06482737 -0.19607508  0.04964098 -0.29856817 -0.08484394
  0.07585096 -0.05054011  0.16459973  0.00490296 -0.24561262 -0.1647044
 -0.116884   -0.0054598   0.01571907 -0.23720924 -0.27130161  0.01333783
 -0.33191803  0.16003187  0.52318468  0.14133212  0.20813113  0.0481631
 -0.23983679 -0.13728059  0.21242325  0.08466164 -0.014024   -0.23515865
  0.20685895 -0.09549896]",1.0,5,1,0,0,17300,16,8
33,CMA-ME,"[-0.19365202 -0.15948119  0.20499766  0.20968906  0.08886143  0.12584623
  0.22884492  0.44508288 -0.21330806 -0.19704976 -0.17693767  0.1780795
  0.0313301  -0.31857351 -0.21127263  0.60242669 -0.22307355  0.17436337
  0.02050834  0.08093394  0.04490349 -0.09922628  0.29791082  0.14407066
  0.34922905 -0.23616355 -0.06674102  0.13420564 -0.08649159  0.1324632
 -0.16889313 -0.07244045]",0.8156388998031616,3,1,0,0,17420,47,5
34,CMA-ME,"[ 0.06474485 -0.05173277  0.16596658  0.01040948 -0.17685719 -0.36734627
  0.10982236  0.15632732 -0.29309862 -0.09500211 -0.0206731  -0.04253988
  0.06264691 -0.23378594  0.22826091  0.13390496  0.17981834 -0.32836424
  0.02620472  0.15668015 -0.11141634  0.06366551  0.01862487  0.06042864
  0.14677561  0.10758803  0.22220619 -0.18425662  0.02609734  0.20856785
  0.09438169 -0.36354773]",0.8156388998031616,3,1,0,0,17420,38,3
35,CMA-ME,"[ 0.04550841  0.15603914 -0.12994541 -0.04841941 -0.0621832   0.08535028
  0.21398022  0.62695916  0.01701089  0.04472109 -0.02476549 -0.15006985
  0.25989076 -0.16431059  0.2864652  -0.00588696  0.07147112 -0.17026318
 -0.4241882   0.07593129  0.02971885 -0.3365078   0.08204245 -0.12613258
  0.03654541 -0.18588109  0.00528035  0.01919717  0.28097001 -0.0662246
  0.16052874  0.26160921]",0.8156388998031616,3,1,0,0,17420,46,5
36,CMA-ME,"[-0.11394632  0.15634361  0.16278257  0.34325836  0.0225681  -0.05785943
 -0.32717599 -0.38702433  0.15453116  0.16702241 -0.26537579  0.01460851
 -0.10582762  0.1313613   0.13339307  0.16922401  0.1366678  -0.31342918
  0.15788432 -0.15898036 -0.01797912 -0.08817465  0.01823562 -0.26646022
  0.12263715 -0.41368805  0.10598747  0.0346038  -0.16536902 -0.07733784
 -0.07591733 -0.56550075]",1.0,7,0,0,0,16880,4,4
37,CMA-ME,"[-0.24055363 -0.0864738  -0.00567047 -0.09592823  0.06954664 -0.33737607
 -0.01587888 -0.06269433 -0.08659745 -0.15282244 -0.13427109  0.1635491
 -0.00677356 -0.13493525  0.34057568 -0.3521637  -0.23502229  0.15713128
 -0.18096519 -0.1082135  -0.21546239  0.12217702  0.15147327 -0.02507867
  0.04453999  0.2233811   0.18316423 -0.29813571  0.09135044 -0.22747701
 -0.12693678 -0.17843848]",0.8156468272209167,3,1,0,0,17480,48,5
38,CMA-ME,"[-0.1636369  -0.23239512 -0.36177819 -0.22658094  0.09760328 -0.02368149
  0.16299949  0.23857453  0.0402672  -0.08114988  0.09841393 -0.00882348
 -0.20667296  0.31544855 -0.13124238  0.44766166  0.11449084 -0.03604877
 -0.20703593 -0.17678018 -0.25319008  0.08122689 -0.11003972  0.0244274
 -0.22137264 -0.18253734  0.03189421 -0.24466407 -0.20060916 -0.39087752
 -0.00888058 -0.16144236]",1.0,4,0,0,0,16760,31,1
39,CMA-ME,"[ 0.02917118  0.36806807 -0.01712166  0.00311727  0.01950024 -0.06274861
  0.25203603 -0.24320334 -0.12412386  0.16317308 -0.10106211  0.36358364
 -0.28794338 -0.07478062  0.04572887  0.16819065  0.34493555  0.05991694
  0.06925778 -0.1262621  -0.23571303  0.18855842 -0.25923538  0.0512828
 -0.71184266 -0.0261255  -0.12598349 -0.28123343  0.07362707  0.25344755
  0.34420593 -0.06389679]",1.0,6,1,0,0,17000,3,3
40,CMA-ME,"[ 0.16222683  0.22670695 -0.01279459  0.4391722   0.10523675  0.20260362
 -0.35087781 -0.26583362 -0.24666539  0.43959437  0.09318928  0.18640287
 -0.15812094 -0.00698702  0.15402922 -0.21368245 -0.17240655  0.09035386
  0.11269439  0.35085941 -0.0201891   0.1251103   0.1604643   0.0997481
 -0.26722694 -0.03998364  0.266405    0.23843475 -0.1819281  -0.07178756
  0.40770773 -0.08166184]",1.0,7,0,0,0,16940,21,6
41,CMA-ME,"[-0.21868705  0.04594111 -0.13931308  0.11163582 -0.12235504  0.1394567
 -0.03696787  0.18423723  0.29765575  0.06897727 -0.16231965 -0.0090556
  0.0703173  -0.10030745 -0.0328943   0.26102128 -0.17904361  0.27356799
 -0.06857829  0.12099273  0.19377346  0.18567233 -0.13955749 -0.04229091
 -0.29640867 -0.18400753 -0.04206644 -0.02051315 -0.22176609  0.29446051
  0.1815161  -0.05180885]",1.0,5,0,0,0,16760,32,2
42,CMA-ME,"[ 0.07183291  0.25790569  0.12725733 -0.07084068  0.22232616  0.21507059
 -0.10212292  0.11362994  0.12727746 -0.01669709 -0.10550904  0.12743907
 -0.16226764 -0.01650373 -0.09995023  0.08428722  0.30090004  0.48408243
  0.18332734 -0.0817006   0.01523439 -0.14201235  0.19232112 -0.11872887
  0.02917641  0.3540077  -0.07838407  0.03966717 -0.0449199   0.00978597
  0.15081356  0.1659679 ]",1.0,6,0,0,0,16760,33,2
43,CMA-ME,"[-0.05477355 -0.02507178 -0.05039186 -0.29778987  0.07180339  0.10385187
  0.04181171  0.09975078 -0.13673933  0.20093043  0.02854714  0.18082803
 -0.10379153  0.0049405  -0.06778925  0.0708633  -0.00799043  0.17088653
  0.23950532 -0.29381598  0.05905076 -0.04885725 -0.19853576 -0.09633708
  0.18513116 -0.10409648 -0.12580377 -0.14137247 -0.16540587  0.07515394
 -0.13010075  0.04511523]",1.0,6,0,0,0,16700,0,3
44,CMA-ME,"[-0.03961758  0.33965289 -0.236532    0.1206865  -0.00983479 -0.24157623
  0.41401063 -0.30222092 -0.08462005  0.14295867 -0.21896565 -0.05872238
  0.08019357 -0.05729874  0.10146033 -0.13546503  0.14296648  0.34970406
  0.19034451  0.24367723 -0.09293372 -0.04445776  0.02219451 -0.02117463
  0.06613956  0.02246154  0.12559076  0.00907069  0.15384954 -0.13992229
 -0.19114951 -0.00591301]",1.0,5,0,0,0,16700,8,2
45,CMA-ME,"[ 0.14826249 -0.01190533  0.39263865  0.12109473 -0.47700097  0.04561271
  0.03538381  0.06185904  0.15225341 -0.09902496 -0.18481326  0.07218212
 -0.28602962 -0.19771908 -0.1328592  -0.02754216  0.13509026  0.20655851
  0.14625726 -0.09904136  0.04131188 -0.14264129  0.55616841 -0.09382504
 -0.26616891 -0.37329296  0.06112343  0.18685851 -0.23803454 -0.06822474
 -0.47909909  0.09822648]",0.8261634707450867,2,0,0,0,17720,31,1
46,CMA-ME,"[-0.1965019  -0.26260783  0.33065976 -0.23671872  0.12715205 -0.27741951
  0.45182394  0.02384649  0.14960214  0.4281174   0.08828587 -0.36915667
  0.22845679  0.34890294 -0.03866721  0.09856059 -0.28154351 -0.01093175
 -0.09758666  0.13184279  0.01271769 -0.13488707 -0.44060583 -0.00899909
  0.26504257  0.19818888  0.05524253 -0.26196663 -0.20638503  0.11541092
  0.13548584 -0.13078805]",1.0,5,1,0,0,17180,0,3
47,CMA-ME,"[-0.09468526  0.00482213  0.1322883  -0.09146987 -0.10466533  0.03452655
  0.26124698 -0.10006949  0.06200634  0.25685195 -0.01613598 -0.53884269
  0.19096241  0.04262997  0.0881375  -0.02098339  0.06641187  0.04331797
 -0.28370693  0.08309532 -0.10463617  0.16880911 -0.21684883  0.12230892
  0.06482625  0.0072267  -0.05094462  0.01554933 -0.37826776 -0.15165578
  0.2536524   0.25805939]",1.0,6,0,0,0,16760,33,2
48,CMA-ME,"[-0.07267775  0.05410694  0.22143287  0.17086119 -0.35319181 -0.00872957
 -0.20593255  0.15152636  0.28360647  0.09966825  0.03999976  0.16888411
  0.10273042  0.06699094  0.15377902  0.34115935 -0.31758529 -0.1494796
  0.08923133 -0.09553078 -0.08978247 -0.3736671  -0.30538845  0.16598449
  0.39324722  0.14317169 -0.11007727 -0.36267776  0.13665256  0.00397363
 -0.21073247  0.19405262]",0.9899198412895203,6,0,0,0,16940,15,2
49,CMA-ME,"[-0.02473304  0.16717215 -0.0530804   0.0237817   0.09511493  0.49187867
  0.30478047 -0.04984128 -0.04768559 -0.19595193  0.09991681 -0.34333607
  0.35029378  0.18374642  0.26788328 -0.00177351 -0.00273227 -0.01402559
 -0.06081987  0.13460662 -0.20704953  0.1426212   0.07216214  0.13080604
  0.0296272  -0.2006377   0.40779353 -0.31220095  0.27907053  0.07219533
 -0.01770466  0.28275319]",1.0,3,2,0,0,17300,12,9
50,CMA-ME,"[ 0.49066586  0.18373666  0.41799132  0.213679   -0.24791901 -0.22361349
 -0.27197945 -0.12899385 -0.00649204 -0.18702008 -0.14815036  0.20344343
  0.31407139  0.28305277 -0.19982774  0.2248337  -0.15226037 -0.28674127
  0.02473807  0.03168549  0.16895629 -0.17103863 -0.07899034  0.16264384
 -0.34590346  0.20334514  0.2016173   0.15744675  0.01325638  0.31725497
 -0.11623915  0.16786094]",1.0,4,6,0,0,16640,15,10
51,CMA-ME,"[ 0.23917038  0.26065869  0.06069795  0.3048787  -0.47450521  0.04196368
 -0.01909719  0.31836336  0.15836479 -0.13614385 -0.16161207 -0.36268598
  0.07260105 -0.28310841  0.06506741  0.03682454  0.01933241 -0.14676491
  0.06168384 -0.03676307  0.21881837 -0.01717852  0.14584033 -0.07319928
 -0.03876531  0.04927459  0.05534962  0.01075948 -0.20484383  0.10733748
  0.30534687  0.12393482]",1.0,4,5,0,0,16940,15,11
